model,R2_train,MAE_train,RMSE_train,R2_test,MAE_test,RMSE_test,rep
Ensemble (XGB+LGBM),0.9692484285453545,6.946090035119424,11.59626188803714,0.8246514117159529,17.908339373253586,28.13860023887743,2
SVR,0.5313423070167178,34.879990449926645,47.72713722610142,0.1755282632017896,32.40035173001475,46.401802448530105,3
Random Forest,0.9695608917079007,8.498117667887568,12.163357539781238,0.5198124534197008,23.480140341880258,35.41215943627859,3
LightGBM,0.9564761351406147,10.170454798384013,14.544581738348388,0.5403833431109505,22.092317198208477,34.64534132066115,3
XGBoost,0.9861049227384386,4.393730856088493,8.21803512306415,0.5348477898964512,20.213598711062698,34.853348508090086,3
DNN,0.8207443034347042,21.794415444514506,29.51712082882046,0.1360097747986746,35.855291972959435,47.500849776105454,3
Ensemble (XGB+LGBM),0.9773802869876198,6.873696445585472,10.485304697148385,0.5544146526226934,19.78282992130479,34.112410959498504,3
SVR,0.4991704112784233,33.36922793387124,45.63692679174794,0.4841637617384287,39.76408422981115,53.07631373198416,4
Random Forest,0.9731131938876186,8.114383376068313,10.574041473229874,0.752808927786645,23.660565811965707,36.74186683658552,4
LightGBM,0.9635026847214685,9.072213873770554,12.319749046986205,0.7658145505240608,22.404692910621524,35.7622456537137,4
XGBoost,0.9948023057040383,3.336380881285057,4.64918435978445,0.7504698021759316,21.032676892402844,36.91529842414601,4
DNN,0.8678009411718279,16.718619905801233,23.446908217039873,0.6381328684313912,34.8471032148467,44.45487537819592,4
Ensemble (XGB+LGBM),0.9855138501297993,5.74181175826791,7.761539798806677,0.7696779449293669,20.500192738840994,35.46603118710112,4
SVR,0.4704100068454734,34.67014337179892,48.22129891541074,0.5609912301185787,35.08869919918245,43.76570860725666,5
Random Forest,0.9555405292273097,9.139549023199033,13.971761507787157,0.8380158693848552,19.686986153846185,26.584812470176807,5
LightGBM,0.94140448505153,10.839349761707481,16.039883406058134,0.8628667039751083,17.36167064883532,24.460696760670817,5
XGBoost,0.9772159970681915,5.066290422097231,10.001935126748691,0.8519126119141598,17.481241095127206,25.418879545160276,5
DNN,0.7290113465868601,26.785615048012875,34.494080525096734,0.5992989658235419,29.99401961265671,41.8126408548137,5
Ensemble (XGB+LGBM),0.966737094930519,7.409863531539957,12.085068255480722,0.8693675313382778,15.821520602350114,23.873875983830434,5
SVR,0.4926805833844602,33.00381636785449,45.76133252222436,0.4636729271686689,39.36507379821195,54.25702010424006,6
Random Forest,0.9446224307913241,9.638900085470056,15.119062566149692,0.8530399682886728,20.337391990231954,28.40146199385858,6
LightGBM,0.9369035181365001,10.097609937943703,16.1384006214765,0.8921110835406134,17.469205343117217,24.334895946670446,6
XGBoost,0.9630392267376442,6.278534338535407,12.351748616065244,0.9362878804485197,13.194846692207534,18.700452030318058,6
DNN,0.7353667107796469,23.854898840191535,33.05066159178848,0.7043950698092778,31.610252868512354,40.28069121339059,6
Ensemble (XGB+LGBM),0.9547153655052228,7.770710131629098,13.672041040571196,0.9209122071565217,14.497906831857435,20.835110382091752,6
SVR,0.5480991544137476,32.114860697026174,44.534374312661996,0.2798280546667369,42.83938616558241,57.079548193820095,7
Random Forest,0.968883239749388,8.057943351648293,11.686136772953022,0.551562309360927,30.12499289377305,45.04156593079576,7
LightGBM,0.9498554263164845,10.62309436053331,14.834938484124187,0.6542429662754974,24.887047420866132,39.550132163587044,7
XGBoost,0.9846083499646908,4.191012088090946,8.218950562191848,0.592683615655587,25.36608726305839,42.92678539657586,7
DNN,0.3178334226401971,43.02051074313611,54.7165865911951,0.18396006553045052,47.24313813599118,60.76005151463842,7
